Date,Filename,Batch Index,Was health discussed at any point during this transcript?,People that participated in discussions about health,Were there discussions about health data or health information systems at any point during this transcript?,Summary of discussions about health data or health information systems,What challenges did the discussions around health data or health information systems identify?,What recommendations were discussed to improve health service delivery?,What decisions or resolutions or policies or laws were made regarding financing the health sector?,What evidence was used to inform any decisions or recommendations or resolutions or policies or laws?,"What health information was requested or demanded, and who was it requested from?"
2016-02-24,23rd-sitting-of-2016,0,Yes,"Hon. Kibwana Swaleh, Hon. Mohamed Ndanda, Hon. Tom Ogalo, Hon. Ahmed Faraj, Hon. Ibrahim Kondo, Hon. Patrick Siminyu, Hon. Hamisi Mwidani, Hon. Abubakar Kibwana, Hon. Kalume Salim, Hon. Maimuna Mwamassa, Hon. Zeinab Mumba, Hon. Kizito Opeya, Hon. Paul Onje, Hon. Zainab Kithinzi",No,"",Lack of access to the Health Committee quarterly report for all members,Proper distribution of copies of critical health reports to all members for informed contributions,Adoption of the Department of Health first quarter report of October 2015,Official documents and reports,""
2016-02-24,23rd-sitting-of-2016,1,Yes,"Hon. Kibwana Swaleh, Hon. Mohamed Chiro, Hon. Tom Ogalo, Hon. Ahmed Faraj, Hon. Kizito Opeya Okoth, Hon. Ibrahim Kondo, Hon. Patrick Siminyu, Hon. Mohamed Madundo, Hon. Jimmy Odari, Hon. Lucy Chizi Chireri, Hon. (Mrs.) Nyamvula",No,"","","","","",""
2016-02-25,24th-sitting-of-2016,0,Yes,Members,No,"",Lack of specific discussions on health data or information systems.,Attend free medical camp at Kwa Hola Primary School.,None,"Invitation to Kipevu Ward Free medical camp, notification of reports from the Office of Controller of Budget.",None
2016-03-01,25th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-03-01,25th-sitting-of-2016,1,No,"",No,"","","","","",""
2016-03-02,26th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-03-03,28th-sitting-of-2016,0,No,"",Yes,Discussions on the need for public toilets near hospitals and other public areas to improve sanitation.,Lack of public toilets leading to unsanitary conditions and health risks.,Construction of public toilets near hospitals and public areas.,"",Observations of unsanitary conditions and discussions on the importance of public toilets for public health.,Public toilet facilities and their impact on public health
2016-03-08,29th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-03-09,30th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-03-09,31st-sitting-of-2016,0,No,"",No,"","","","","",""
2016-03-10,32th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-03-15,33rd-sitting-of-2016,0,No,"",No,"","","","","",""
2016-03-16,34th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-03-16,34th-sitting-of-2016,1,No,"",No,"","","","","",""
2016-03-16,35th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-03-17,36th-sitting-of-2016,0,No,"",Yes,"Discussions were held on the County Fiscal Strategy Paper, 2016, and the Debt Management Strategy Paper. The goals and findings of the workshop were reviewed, along with comparisons with national and county fiscal policies. Recommendations for corrective measures and improvements were discussed.","The challenges identified included under-absorption of funds, discrepancies between projected and actual revenues and expenditures, departmental allocations not aligned with priorities, delays in project implementation, and poor debt management practices.","Recommendations included improved alignment of fiscal papers with development plans, conducting cost-benefit analysis for medical equipment, revenue enhancement plans, and reviewing and analyzing accomplishments in development projects.","Decisions were made to align the County Fiscal Strategy Paper with development plans, implement revenue enhancement plans, conduct cost-benefit analysis for medical equipment, and improve debt management practices.","The evidence used to inform decisions included the findings and observations from the review of the County Fiscal Strategy Paper, 2016, and the Debt Management Strategy Paper.",""
2016-03-22,37th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-03-23,38th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-03-23,39th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-03-24,40th-sitting-of-2016,0,No,-,No,"","","","","",""
2016-03-30,42nd-sitting-of-2016,0,No,"",No,"","","","","",""
2016-03-30,43rd-sitting-of-2016,0,No,"",No,"","","","","",""
2016-03-30,43rd-sitting-of-2016,1,No,"",No,"",There were no discussions about health data or information systems.,There were no recommendations discussed to improve health service delivery.,"","",""
2016-03-31,44th-sitting-of-2016,0,Yes,"Hon. Zeinab Mumba, Hon. Jimmy Odari, Hon. Suleiman Omar, Hon. Ahmed Omar Ebrahim, Hon. Amir Thoya, Hon. Caroline Auma, Hon. Saad Faraj, Hon. Paul Onje",No,"",The main challenge discussed was the negative health effects of smoking and the need to provide designated smoking zones to prevent non-smokers from being affected by second-hand smoke.,The recommendations discussed focused on the importance of providing designated smoking zones to protect non-smokers from the harm of second-hand smoke and to improve public health.,"","",No specific health evidence was requested in the transcript.
2016-03-31,44th-sitting-of-2016,1,No,"",No,"","","","","",""
2016-04-05,45th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-04-06,46th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-04-06,47th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-04-07,48th-sitting-of-2016,0,Yes,"Hon. (Mrs.) Nyamvula, Hon. Faraj, Hon. Ahmed Ebrahim Omar, Hon. Serah Nyamvula, Hon. Saad",No,"","The challenges identified include the lack of implementation of the 30 per cent procurement rule for women, Persons Living with Disabilities (PWDs), and youths in the county.","The recommendation is to revisit the issue of 30 per cent procurement on youths, gender, and sports, and Community Development Workers (CDWs) to ensure compliance in the County Assembly and the County as a whole.","A decision was made to have Hon. Meti provide a comprehensive answer to the House within one week on the implementation of the 30 per cent procurement plan for youths, women, and people living with disabilities.",The evidence base for the decisions and recommendations includes the advocacy efforts made to implement the 30 per cent procurement rule in the county.,""
2016-04-07,48th-sitting-of-2016,1,Yes,"Hon. (Mrs.) Nyamvula, Hon. Faraj, Hon. Ahmed Ebrahim Omar, Hon. Saad Faraj, Hon. Serah Nyamvula, Hon. Meti",No,"","Implementation of the 30 percent procurement rule for women, Persons Living with Disabilities (PWDs), and youths","Review and implementation of the 30 percent procurement rule for youths, gender, and sports",To give one week for Hon. Meti to come back with a comprehensive answer regarding the implementation of the 30 percent procurement plan,Statements and discussions made during the Assembly debates,""
2016-04-12,49th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-04-12,49th-sitting-of-2016,1,No,"",Yes,"The discussions focused on the Integrated Strategic Urban Development Plan -2035 (ISUD PLAN -2035) for Mombasa, which is a collaborative effort between the national government, County Government of Mombasa, and donors, including the World Bank. The plan aims to address socio-economic and physical challenges faced by the city, improve quality of life, and enhance service delivery to citizens.","The challenges identified include socio-economic and physical challenges faced by the city, a wide gap between Mombasa and other cities, managing obligations towards city development, pressure on physical facilities and infrastructure, increasing population, rural-urban migration, low revenue collection, and the need for smart planning.","",The County Assembly approved the adoption and implementation of the ISUD PLAN -2035. The County government of Mombasa was authorized to carry out the Integrated Strategic Urban Development Plan within Mombasa County.,"Research, consultation with consultants and local partners, input from stakeholders and the public, and considerations based on the Kenya Municipal Program and County Governments Act, 2012.",""
2016-04-13,50th-sitting-of-2016,0,Yes,"Paul Onje, Enock Mwadziwe, Mary Akinyi, Mohamed Madundo, Tom Ogalo, Ahmed Omar Meti, Kibwana Swaleh Baya",No,"",Corruption,"Sealing loopholes of corruption, using resources effectively",Calendar to be altered to extend sittings and address pending business,Observations and findings mentioned in the discussions,""
2016-04-13,51st-sitting-of-2016,0,No,"",No,"","","","","",""
2016-04-13,51st-sitting-of-2016,1,No,"",No,"","","","","",""
2016-04-14,52nd-sitting-of-2016,0,No,"",No,"","","","","",""
2016-04-14,52nd-sitting-of-2016,1,No,"",No,"","","","","",""
2016-04-29,53rd-Special-sitting-of-2016,0,No,"",No,"","","","","",""
2016-04-29,53rd-special-sitting-of-2016,0,No,"",No,"","","","","",""
2016-05-10,53rd-sitting-of-2016,0,Yes,"Hon. Mohamed Ndanda, Deputy Speaker Mswabah Rashid, Hon. Mwidani, Hon. Kibwana Swaleh, Hon. Amur Murfad, Hon. Jabess, Hon. Mohamed Hatimy, Hon. Oduor, Hon. Saad, Hon. Faraj",No,"","Ethical misconduct, harassment of staff, interference with staff duties",N/A,Expulsion of Hon. Hatimy and Hon. Jabess from the Assembly,"Ethical standards, constitutional guidelines",""
2016-05-11,55th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-06-15,57th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-06-15,58th-sitting-of-2016,0,Yes,"Hon. Mohamed Chiro Ndanda, Hon. Jimmy Odari, Hon. Patrick Muriuki Siminyu, Hon. (Mrs.) Nyamvula, Hon. Hudson Karume, Hon. Ibrahim Kondo, Hon. Riziki Fundi, Hon. Madundo",No,"","Challenges identified in revenue collection for trade licenses, impact on small business owners, non-payment of taxes leading to revenue loss for the county government","Consider implementing a system for easier payment of trade licenses, review and amend the Mombasa County Trade Licensing Act, address revenue collection challenges, empower small business owners, improve structures for revenue collection, address infrastructure issues such as the condition of the Bamburi bridge, address water drainage infrastructure issues, expedite committee work on addressing community concerns",N/A,N/A,""
2016-06-16,59th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-06-16,59th-sitting-of-2016,1,No,"",No,"","","","","",""
2016-06-22,61st-sitting-of-2016,0,Yes,"Hon. Mohamed Ndanda, Hon. Serah Nyamvula",No,"","Insecurity, deaths related to insecurity, sale of local brew leading to insecurity","Improvement of security measures, involvement of security committee, addressing specific security concerns in villages","",Personal experiences and observations,N/A
2016-06-22,61st-sitting-of-2016,1,No,"",No,"","","","","",""
2016-06-22,61st-sitting-of-2016,2,Yes,"Hon. Mohamed Ndanda, Hon. Zeinab Omar Mumba, Hon. Serah Nyamvula, Hon. Duncan Onyango, Hon. Riziki Fundi, Hon. Karisa Munyika Nzai",No,"","Insecurity issues in the areas represented by Hon. Mohamed Ndanda, including incidents of killings and harassment due to lack of security measures.",To involve the Security committee team of Mombasa to address insecurity issues and ensure the security of residents.,"",Incidents of insecurity and killings in the areas of concern.,""
2016-06-22,62nd-sitting-of-2016,0,No,"",No,"","","","","",""
2016-06-23,63rd-sitting-of-2016,0,No,"",No,"","","","","",""
2016-06-23,63rd-sitting-of-2016,1,No,"",No,"","","","","",""
2016-06-23,63rd-sitting-of-2016,2,No,"",No,"","","","","",""
2016-06-23,63rd-sitting-of-2016,3,No,"",No,"","","","","",""
2016-06-23,63rd-sitting-of-2016,4,No,"",No,"","","","","",""
2016-06-28,64th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-06-29,65th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-06-29,66th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-06-30,67th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-06-30,67th-sitting-of-2016,1,No,"",No,"","","","","",""
2016-06-30,67th-sitting-of-2016,2,No,"",No,"","","","","",""
2016-07-05,68th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-07-07,72nd-sitting-of-2016,0,No,"",No,"","","","","",""
2016-07-12,69th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-07-12,69th-sitting-of-2016,1,No,"",Yes,Discussions were held regarding the painting and maintenance of the decorative elephant tusks in Mombasa as part of the county's historical heritage.,The metal plates on the decorative elephant tusks were identified as depreciating and needing regular maintenance.,"","",Visual observations of the condition of the metal plates on the elephant tusks.,No evidence requested.
2016-07-13,70th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-07-13,71st-sitting-of-2016,0,No,"",No,"","","","","",""
2016-07-13,71st-sitting-of-2016,1,No,"",No,"","","","","",""
2016-07-19,73rd-sitting-of-2016,0,No,"",No,"","","","","",""
2016-07-19,73rd-sitting-of-2016,1,No,"",No,"","","","","",""
2016-07-20,74th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-07-20,74th-sitting-of-2016,1,No,"",No,"","","","","",""
2016-07-20,75th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-07-20,75th-sitting-of-2016,1,Yes,"Maimuna S. Mwawasi, Fatuma Swaleh, Patrick Siminyu, Riziki Fundi, Zainab Said Ali",No,"","","","","",""
2016-07-21,76th-sitting-of-2016,0,Yes,"Maimuna Salim, Priscillah Mumba",No,"",Delays in emergency treatment at Coast General Hospital,"Increase staff at the pharmacy, have separate queues for emergency and regular patients","",Personal experiences and observations,""
2016-07-21,76th-sitting-of-2016,1,Yes,"Hon. Patrick Siminyu, Hon. Fadhili Mwalimu, Hon. Mohamed Hatimy, Hon. (Mrs.) Priscillah Mumba, Hon. Kibwana Swaleh, Hon. Fatuma Mote",No,"",Emergency treatment processes at Coast General Hospital,Improve emergency service processes at Coast General Hospital,No specific decisions made,Observations and experiences shared during the discussions,""
2016-07-26,77th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-07-26,77th-sitting-of-2016,1,No,"",No,"","","","","",""
2016-07-27,78th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-07-27,78th-sitting-of-2016,1,No,"",No,"","","","","",""
2016-07-27,79th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-07-27,79th-sitting-of-2016,1,No,"",No,"","","","","",""
2016-07-28,80th-sitting-of-2016,0,Yes,"Zainab S. Kithinji, Maimuna Salim, Fadhili Makarani, Mohamed Ndanda, Mary Akinyi, Saad Faraj, Sarah Nyamvula, Paul Onje",No,"","The challenge of insecurity in Mombasa County was discussed, focusing on the need for CCTV implementation to enhance security measures.","","","",""
2016-07-28,80th-sitting-of-2016,1,No,"",No,"","","","","",""
2016-08-02,81st-sitting-of-2016,0,No,"",No,"","","","","",""
2016-08-02,81st-sitting-of-2016,1,No,"",No,"","","","","",""
2016-08-03,82nd-sitting-of-2016,0,Yes,"Hon. Mohamed Hatimy, Hon. Faraj, Hon. Ndanda, Hon. Akinyi, Hon. Mwalimu, Hon. Mwidani, Hon. Ahmed Omar Ebrahim, Hon. Zeinab Kithinzi, Hon. Karisa Nzai, Hon. Nasser Rashid, Hon. Ibrahim Kondo, Hon. Wangudi",No,"",Printing errors in the document,To correct printing errors and follow proper procedures,"","",""
2016-08-03,83rd-sitting-of-2016,0,No,"",No,"","","","","",""
2016-08-03,83rd-sitting-of-2016,1,No,"",No,"","","","","",""
2016-08-16,85th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-08-17,86th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-08-17,87th-sitting-of-2016,0,Yes,Hon. Faraj,No,"","","","","",""
2016-08-18,88th-sitting-of-2016,0,Yes,"Hon. Kalume, Hon. Wangudi, Hon. Mary Akinyi, Hon. Zainab Ali",No,"","","","","",""
2016-08-23,89th-sitting-of-2016,0,No,"",Yes,"The County Assembly discussed the benefits of Kenya Ports Authority to Mombasa County and the ongoing projects by Kenya Port Authority in Mombasa County. They highlighted the CSR projects in Mombasa, such as donations to hospitals, schools, and communities.",The report mentioned that there was a lack of clear indication of the financial years in which the projects were undertaken by Kenya Ports Authority. There were also observations that KPA management had been directly working with institutions benefiting from CSR projects without involving grassroots leaders such as Members of County Assembly.,"",The County Assembly did not make any decisions or resolutions regarding the health sector.,The discussions and observations were based on the findings of the Ad hoc committee following a statement raised by a Member of the County Assembly regarding the benefits of Kenya Ports Authority to Mombasa County.,""
2016-08-23,89th-sitting-of-2016,1,No,"",Yes,"Discussions about the benefits of Kenya Ports Authority to Mombasa County were conducted by an Ad hoc committee. The report highlighted the CSR projects undertaken by KPA in Mombasa, focusing on education and health projects. The report also mentioned the need for clearer indication of the financial years in which the projects were undertaken and suggested visits to project sites for verification.",The challenges identified include the lack of clear breakdown of project timelines and the direct engagement of KPA with institutions without involvement of grassroots leaders like Members of County Assembly.,"","",The evidence presented includes the findings of the Ad hoc committee and discussions with KPA officials regarding their CSR projects in Mombasa.,N/A
2016-08-24,90th-sitting-of-2016,0,Yes,Kibwana Swaleh,No,"","","","","",""
2016-08-24,91th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-08-25,92nd-sitting-of-2016,0,No,"",No,"","","","","",""
2016-08-30,93rd-sitting-of-2016,0,No,"",No,"","","","","",""
2016-08-31,94th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-08-31,95th-sitting-of-2016,0,Yes,"Hon. Kibwana Swaleh, Hon. Sheillah Mumba, Hon. Prischillah Mumba",No,"","Shortage of medicine, inadequate staff, patients seeking shortcuts","Employ more staff, further improve service delivery","",Observations and findings from the visit to the Coast Provincial General Hospital,""
2016-09-01,96th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-09-07,97th-sitting-of-2016,0,No,"",No,"","","","Authorization to utilize Kshs. 1,006,577 for Governor’s office rent in Nairobi","",""
2016-09-07,98th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-09-07,99th-sitting-of-2016,0,Yes,Hon. Kibwana Swaleh,No,"","Challenges in drug supply, human resource challenges, lack of perimeter wall for security","Support for health department, budgetary support, more investigations","",Requests for more investigations and improved reports,Health data and drug supply information
2016-09-07,99th-sitting-of-2016,1,Yes,"Hon. Kibwana Swaleh, Hon. Kizito Opeya",No,"","Lack of drugs, lack of perimeter wall for security, shortage of human resources","Further investigations, better support from the County Assembly",Recommendation for adoption of the report,Statement from the Department of Health on lack of drugs at Maweni Dispensary,""
2016-09-08,100th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-09-13,101st-sitting-of-2016,0,No,"",No,"","","","","",""
2016-09-14,102nd-sitting-of-2016,0,No,"",No,"","","","","",""
2016-09-14,103rd-sitting-of-2016,0,No,"",No,"","","","","",""
2016-09-15,104th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-09-20,105th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-09-21,106th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-09-21,107th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-09-22,108th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-09-22,108th-sitting-of-2016,1,No,"",No,"","","","","",""
2016-09-27,109th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-09-28,110th-sitting-of-2016,0,No,"",Yes,Discussions about uncontrolled gambling within the villages by the Chinese.,"Licensing of casinos under National government while County governments have no impact on them, school children being lured into gambling machines, unlicensed kiosks with gambling machines, expired licenses for gambling machine companies.",1) Companies to return gambling machines by a certain date. 2) Inspection and confiscation of machines after the set date. 3) Updates to be provided on the outcome by a specified date.,Temporary suspension of uncontrolled gambling to reevaluate the placement and regulations of gambling machines.,"Committee findings on the prevalence of gambling machines in the county, impact on school children, and licensing issues.",Not applicable
2016-09-28,110th-sitting-of-2016,1,Yes,"Hon. Ibrahim Kondo, Hon. Ibrahim A Kondo, Hon. Fatuma S Mote, Hon. Abubakar Kibwana, Hon. Amir M Thoya, Hon. Kibwana S Baya, Hon. Lucy C Chireri, Hon. Maimuna S Mwawasi, Hon. Patrick SM Siminyu, Hon. Saad A Faraj, Hon. Suleiman O Boma",No,"","Licensing of casinos under National government while County governments have no impact, Unlicensed gambling machines in kiosks, Expired licenses for gambling companies, Lack of collaboration between departments for gambling control","Collaboration between Betting Control and Inspectorate departments, Issue directive for return of gambling machines, Inspection after return deadline, Update outcome by a certain date","","",""
2016-09-28,111th-sitting-of-2016,0,Yes,"Hon Kibwana Swaleh, Hon. Mary Akinyi, Hon. Patrick Siminyu, Hon Amir Thoya, Hon. Karume, Hon. Mohamed Hatimy",No,"","Lack of a substantive Chief Executive Officer, Lack of detailed report on the number of people employed including those living with disabilities, Lack of gender balance in the Ad hoc Committee","Confirm the Acting Chief Executive Officer, Employ more staff in the medical sector, Include persons living with disabilities in recruitment",Confirmation of the Acting Chief Executive Officer,N/A,N/A
2016-09-29,112th-sitting-of-2016,0,Yes,"Hon. Fadhili Mwalimu, Hon. Mary Akinyi",No,"","","","","",Information about NHIF registration for orphans
2016-09-30,113th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-10-04,114th-sitting-of-2016,0,Yes,"Andrew Mativo, Jared Oget, Jerusa Wangare",No,"",Lack of legal framework for evictions,Enacting eviction and resettlement law for Mombasa County,Committee on Physical Planning and Lands and Committee on Justice and Legal Affairs to handle the petition,Petition from civil societies regarding forced evictions in slums,""
2016-10-05,115th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-10-05,115th-sitting-of-2016,1,No,"",No,"","","","","",""
2016-10-05,116th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-10-06,117th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-10-11,118th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-10-12,119th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-10-12,120th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-10-13,121st-sitting-of-2016,0,No,"",No,"","","","","",""
2016-10-19,123rd-sitting-of-2016,0,No,"",No,"","","","","",""
2016-10-19,124th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-10-19,124th-sitting-of-2016,1,No,"",Yes,Discussions about staff seconded to the County government who were formerly under the National government under the Betting Control and Licensing Board.,"Unprocedural mode of operation of staff, failure to report revenue collected to the County government, and denial of County government revenue.",Stop payment of the seconded staff from the former Betting Control and Licensing Board who are on the County government payroll.,"",Internal investigation of revenue flow and operational procedures.,""
2016-10-25,125th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-10-25,125th-sitting-of-2016,1,No,"",No,"","","","","",""
2016-10-26,126th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-10-26,127th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-10-27,128th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-11-01,129th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-11-02,130th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-11-02,131st-sitting-of-2016,0,No,"",No,"","","","","",""
2016-11-02,131st-sitting-of-2016,1,No,"",No,"","",The discussions were focused on the adoption of the report on draft Mombasa County land policy.,The House adopted the report on draft Mombasa County Land Policy.,The discussions were based on the draft Mombasa County Land Policy report.,""
2016-11-08,133rd-sitting-of-2016,0,No,"",No,"","","","","",""
2016-11-09,134th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-11-09,135th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-11-10,136th-Sitting-of-2016,0,No,"",No,"","","","","",""
2016-11-10,136th-Sitting-of-2016,1,No,"",No,"","","","","",""
2016-11-15,137th-sitting-of-2016,0,Yes,Committee for Health,No,"","","","","",""
2016-11-16,138th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-11-16,139th-sitting-of-2016,0,Yes,Hon Mohamed Ibrahim,No,"",Lack of medical insurance for the vast majority of County government employees,"","Invitation to the launch of Afya Elimu Fund on November 17, 2016",Letter from the County government of Mombasa regarding the Afya Elimu Fund invitation,Information on medical scheme for County government employees
2016-11-17,140th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-11-22,141st-sitting-of-2016,0,No,"",No,"","","","","",""
2016-11-23,142nd-sitting-of-2016,0,No,"",No,"","","","","",""
2016-11-23,143rd-sitting-of-2016,0,No,"",No,"","","","","",""
2016-11-24,144th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-11-29,145th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-11-30,146th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-11-30,147th-sitting-of-2016,0,Yes,"Hon(Ms) Akinyi, Hon Saad Faraj, Hon Mohamed Hatimy, Hon Wangudi Stephen, Hon Ahmed Ebrahim Omar, Hon Nasser Rashid",No,"","The challenges identified include the presence of asbestos roofing in public primary schools, which could harm students, teachers, and the general public. There were concerns about the harmful effects of asbestos on health, particularly causing cancer and other diseases, especially in children exposed to asbestos in schools.","Recommendations discussed include the replacement of asbestos roofing in public primary schools to prevent potentially harmful effects on students, teachers, and the general public. Suggestions were made for cooperation and support from the county government to address the issue.","","The discussions were informed by evidence from the World Health Organization on the health hazards of asbestos roofing, particularly its association with cancer and other diseases. Concerns were raised about the impact of asbestos on the health of students and the community using schools with asbestos roofing.",""
