transcript_date,health_discussed,health_discussed_people_names,health_data_information_systems_discussed,health_data_information_systems_summary,health_data_challenges,health_service_delivery_improvement_recommendations,health_sector_decisions,health_evidence_base,health_evidence_requested,filename
"May 17, 2017",No,,No,,,,,,,57th-sitting-of-2017_0
"June 16, 2016",No,,No,,,,,,,59th-sitting-of-2016_1
"May 10, 2023",No,,No,,,,,,,33rd-Sitting-of-2023_0
"February 22 , 2017",No,,No,,,,,,,22nd-sitting-of-2017_0
"February 9, 2017",No,,No,,,,,,,16th-sitting-of-2017_0
"November 1 , 2023",No,,No,,,,,,,85th-Sitting-of-2023_0
"December 4 , 2019",Yes,"Chairperson Committee on Health Services, Hon. Kibwana Swaleh",No,,"The concern raised about the payment methods for county services, stating that certain methods may lead to loss of money and corruption.","The recommendation to continue applying the fees, charges, levy, and penalties for the Mombasa County Department of Health Services from the year 2018-2019 until further amendments are made.","Amendment made to Clause 15 of the Bill to continue using the fees, charges, levy, and penalties for the Department of Health Services from 2018-2019.",,,118th-Sitting-of-2019_1
"November 29, 2017",Yes,"Hon. Kibwana Swaleh, Hon. Moses Aran, Hon. Renson Thoya",No,,,,,None,,23rd-Sitting-of-2017_0
"October 16, 2019",Yes,"Kibwana Swaleh, Amriya Juma Boy, Fadhili Makarani, Milka Moraa Ngare, Shebe Athuman",No,,"The challenges identified include issues with provisions in the Draft Punguza Mzigo (Constitution of Kenya Amendments) Bill, 2019 such as amendments related to leadership and integrity, prosecution of corruption cases, amendment of Articles affecting gender representation, and the removal of the position of Deputy Governor.",,,"The discussion was based on the analysis of the Draft Punguza Mzigo (Constitution of Kenya Amendments) Bill, 2019, and its potential impact on governance and gender representation in Kenya.",,94th-Sitting-of-2019_0
"October 25, 2016",No,,No,,,,,,,125th-sitting-of-2016_0
"December 1, 2016",No,,No,,,,,,,148th-sitting-of-2016_2
"March 28, 2019",Yes,"Hon. Kibwana Swaleh, Hon. Musumba Raphael Bwire",No,,"Shortage of drugs at Junda Dispensary, technicalities in processing payments for medical supplies","Urgent processing of drug orders, streamlining ordering and documentation process",None,"Confirmation from CECM, CEO, and Directors of Education to appear before the Committee",,24th-Sitting-of-2019_1
"May 17, 2023",No,,No,,,,,,,36th-Sitting-of-2023_0
"July 9 , 2019",No,,No,,,,,,,55th-Sitting-of-2019_0
"May 11, 2016",No,,No,,,,,,,55th-sitting-of-2016_0
"July 27, 2016",No,,No,,,,,,,79th-sitting-of-2016_0
"September 7, 2016",Yes,Hon. Kibwana Swaleh,No,,"Challenges in drug supply, human resource challenges, lack of perimeter wall for security","Support for health department, budgetary support, more investigations",,Requests for more investigations and improved reports,Health data and drug supply information,99th-sitting-of-2016_0
"March 27, 2019",No,,No,,,,,,,23rd-Sitting-of-2019_0
"September 24, 2019",Yes,"Hon. Mohamed Hatimy, Hon. Kitula, Hon. Kibwana Swaleh, Hon. Ibrahim Omondi",No,,The issue of painting of facilities was identified as a challenge.,To provide a face lift to the old health facility by painting it.,,Observations of the current state of health facilities.,Requests for information on the status of health facilities and improvements needed.,84th-Sitting-of-2019_0
"May 16, 2018",No,,No,,,,,,,37th-Sitting-of-2018_0
"March 3, 2020",No,,No,,,,,,,10th-Sitting-of-2020_0
"November 26, 2019",Yes,Kibwana Swaleh,No,,,,,,,111th-Sitting-of-2019_0
"October 24, 2018",No,,No,,,,,,,87th-Sitting-of-2018_0
"Wednesday , 19th June, 2019",No,,No,,,,,,,45th-Sitting-of-2019_0
"February 8, 2017",No,,No,,,,,,,14th-sitting-of-2017_0
"May 31, 2017",No,,No,,,,,,,64th-sitting-of-2017_0
"March 7, 2018",Yes,"Hon. Kibwana Swaleh, Hon. Mohamed Hatimy, Hon. Fatma Kushe, Khamisi Mwidani, Kizito Opeya, Lucy Chizi, Fahad Kassim, Murfad Amur, Hon. Moses Aran, Hon. Thoya, Hon. Mwaka Zahoro, Hon. Nzai, Hon. Kitula",No,,N/A,"Employ more Public Health Officers and Vector Control Officers, Community sensitization and advocacy, Regular maintenance of machines",N/A,N/A,N/A,8th-Sitting-of-2018_0
"March 1, 2016",No,,No,,,,,,,25th-sitting-of-2016_0
"March 9 , 2018",No,,No,,,,,,,10th-Sitting-of-2018_0
"February 14 , 2018",Yes,Kibwana Swaleh,No,,,,,,,2nd-Sitting-of-2018_0
"October 9, 2019",No,,No,,,,,,,89th-Sitting-of-2019_0
"November 9 , 2016",No,,No,,,,,,,135th-sitting-of-2016_0
"October 17, 2023",No,,No,,,,,,,78th-Sitting-of-2023_0
"March 21 , 2019",No,,No,,,,,,,20th-Sitting-of-2019_1
"February 15, 2023",Yes,"Hon. Amriya Juma, Hon. Hamida, Hon. Ogutu, Hon. Mwinyi Mtoto, Hon. Madialo, Hon. Juma Manuari",No,,The challenges identified include the time frame lapses for the County Integrated Development Plan (CIDP) and the Annual Development Plan (ADP).,"1. Prioritize the establishment of dispensaries in the seven Wards where none exist. 2. Install and equip mobile containers to be utilized as dispensaries. 3. Amend the Mombasa County Health Act, 2018 and the Mombasa County Environmental Health and Sanitation Act, 2017. 4. Formulate Health Waiver Regulations in regard to medical fees and charges. 5. Operationalize the County Health Management Board and Hospital Management Board for facilities categorized as Level 4 and below. 6. Repurpose Marimani Outreach and Shika Adabu Outreach into drug and substance abuse rehabilitation centers. 7. Establish Coast General Teaching and Referral Hospital (CGTRH) as a semi-autonomous entity.","1. Ratify and adopt the findings and recommendations of the Taskforce on the architecture of healthcare delivery. 2. Prioritize the establishment of dispensaries and equipping of mobile containers. 3. Amend the Mombasa County Health Act and Environmental Health and Sanitation Act. 4. Formulate Health Waiver Regulations. 5. Operationalize the County Health Management Board and Hospital Management Board. 6. Repurpose Marimani Outreach and Shika Adabu Outreach. 7. Establish CGTRH as a semi-autonomous entity. 8. Review and clear health sector pending bills. 9. Dispose and replace obsolete equipment in all facilities. 10. Prioritize rehabilitation, renovation, and maintenance of existing building infrastructure. 11. Explore Public-Private Partnership models for equipment leasing. 12. Prioritize setting up specialty hospitals by upgrading existing facilities.","The evidence used includes the review of the County Integrated Development Plan (CIDP) and the Annual Development Plan (ADP) time frame lapses, as well as the need identified through on-site visits to areas lacking healthcare facilities such as Ward 30 (Bofu) where no clinics, health centers, or dispensaries exist.",,8th-Sitting-of-2023_0
"February 8, 2022",No,,No,,,,,,,1st-Sitting-of-2022_0
"October 9, 2019",No,,No,,,,,,,89th-Sitting-of-2019_1
"July 21, 2016",Yes,"Maimuna Salim, Priscillah Mumba",No,,Delays in emergency treatment at Coast General Hospital,"Increase staff at the pharmacy, have separate queues for emergency and regular patients",,Personal experiences and observations,,76th-sitting-of-2016_0
"November 29, 2022",No,,No,,,,,,,17th-Sitting-of-2022_1
"May 2, 2018",No,,No,,,,,,,29th-Sitting-of-2018_0
"May 10, 2018",Yes,"Hon. Charles Kitula, Hon. Kibwana, Hon. Nzai, Hon. Ali Shomari, Hon. Fahad Kassim Abdallah, Hon. Fadhili Mwalimu, Hon. Hatimy, Hon. Feddis Mbura, Hon. Moses Aran, Hon. Shebe Athuman Salim, Hon. Mohammed Hatimy, Hon. Milka Moraa",No,,,,,Statements and responses during discussions,,34th-Sitting-of-2018_0
"May 9, 2018",No,,No,,,,,,,32nd-Sitting-of-2018_0
"March 9, 2016",No,,No,,,,,,,31st-sitting-of-2016_0
"May 10, 2016",Yes,"Hon. Mohamed Ndanda, Deputy Speaker Mswabah Rashid, Hon. Mwidani, Hon. Kibwana Swaleh, Hon. Amur Murfad, Hon. Jabess, Hon. Mohamed Hatimy, Hon. Oduor, Hon. Saad, Hon. Faraj",No,,"Ethical misconduct, harassment of staff, interference with staff duties",N/A,Expulsion of Hon. Hatimy and Hon. Jabess from the Assembly,"Ethical standards, constitutional guidelines",,53rd-sitting-of-2016_0
"April 25, 2019",No,,No,,,,,None,,36th-Sitting-of-2019_0
"June 29, 2020",No,,No,,,,,,,22nd-Sitting-of-2020_0
"August 3, 2016",No,,No,,,,,,,83rd-sitting-of-2016_0
"July 10, 2019",No,,No,,,,,,,56th-Sitting-of-2019_1
"March 30, 2022",No,,No,,,,,,,30th-Sitting-of-2022_0
"November 23, 2016",No,,No,,,,,,,142nd-sitting-of-2016_0
"Tuesday, 10th October, 2017",Yes,"Samba, Mwalimu Mgwisho, Hamida, Abrari, Mukavi",No,,,,,,Assistance for women facing health issues during childbirth,10th-Sitting-of-2017_2
"November 21, 2018",No,,No,,,,,,,97th-Sitting-of-2018_0
"November 30 , 2017",Yes,"Hon. Ali Shariff, Hon. Ali Mohamed Shomari, Hon. Mary Naliaka, Hon. (Ms.) Wafula, Hon. Shebe Salim, Hon. Aran Moses, Hon. Oindo",No,,,Enrolling underperforming students in vocational institutions,None,Discussion and plans for enrolling underperforming students in vocational institutions,,25th-Sitting-of-2017_0
"November 9, 2022",No,,No,,,,,,,11th-Sitting-of-2022_1
"May 10, 2017",No,,No,,,,,,,53rd-sitting-of-2017_0
"August 7, 2019",Yes,"Hon. Chireri, Hon. Lucy, Hon. Kalume, Hon. Mwamwiri, Hon. Hatimy",No,,Lack of information,No recommendations were discussed,No decisions were made,No new evidence was mentioned,,74th-Sitting-of-2019_0
"October 9, 2019",No,,No,,,,,,,89th-Sitting-of-2019_2
"June 7, 2023",Yes,"Honourable Patrick Mwavula, Honourable Hassan Ulher, Honourable Mariam Baimu, Honourable Amriya Juma Boy, Honourable Hassan Mohamed, Honourable Ibrahim Omondi, Honourable Jacktone Madialo, Honourable Mwinyi Mtoto",No,,,,,,,41st-Sitting-of-2023_0
"April 4 , 2019",No,,No,,,,,,,28th-Sitting-of-2019_1
"March 1,  2017",No,,No,,,,,,,26th-sitting-of-2017_0
"March 9, 2016",No,,No,,,,,,,30th-sitting-of-2016_0
"March 21, 2018",No,,No,,,,,,,16th-Sitting-of-2018-21st-March-18_0
"December 13, 2016",Yes,"Hon Kibwana Swaleh Baya, Hon Mswabah Rashid, Hon Maimuna Salim Mwawasi, Hazel Koitaba",No,,"The presence of foreign matters in Dasani mineral water, concerns about human consumption",1. Clean-in-Place (CIP) should be done more often. 2. Coastal Bottlers Limited to comply with local standards for packaged water. 3. Vetting of distributors and compliance with storage standards. 4. Impromptu visits by KEBS and County Public Health Officers to ensure conformity with standards. 5. Organize periodic refresher courses for workers and ensure medical fitness. 6. Organize a trial run of the plant and have samples picked for analysis. 7. Continued endeavor to address similar health issues for public representation and welfare.,,"Physical examination by the Government Chemist revealed presence of foreign matter in Dasani water, Laboratory results from SGS found the product fit for human consumption, Analytical report from Ministry of Health confirmed unfitness for human consumption",,153rd-sitting-of-2016-1_0
"March 30 , 2016",No,,No,,There were no discussions about health data or information systems.,There were no recommendations discussed to improve health service delivery.,,,,43rd-sitting-of-2016_1
"July 18, 2023",No,,No,,,,,,,44th-Sitting-of-2023_230726_162104_0
"March 16, 2016",No,,No,,,,,,,34th-sitting-of-2016_1
"April 12 , 201 6",No,,No,,,,,,,49th-sitting-of-2016_0
"September 18 , 2019",No,,No,,,,,,,81st-Sitting-of-2019_0
"February 1, 2017",No,,No,,,,,,,10th-sitting-of-2017-1_0
"November 5 , 2019",Yes,"Hon. Charles Kitula, Hon. Mohamed Hatimy, Hon. Ngare, Hon. Bwire, Hon. Milka, Hon. Tobias Samba",No,,Lack of well-established calendar for rotation of County earthmoving equipments and electricians,"Establish a well-scheduled calendar for rotating earthmoving equipments and electricians weekly in each Sub-County, provide total number of manpower on the ground and contact details of team leaders, ensure written prior communication in case of mechanical failure or other reasons","Resolution for County government to rotate earthmoving equipments and electricians in each Sub-County, provide manpower details, and have written communication in case of issues",N/A,N/A,99th-Sitting-of-2019_0
"February 16, 2021",No,,No,,,,,,,5th-Sitting-of-2021_0
"May 29, 2023",No,,No,,,,,,,Special-Sitting-May-2023_0
"November 12, 2019",Yes,"Hon. Kibwana Swaleh, Hon. Hamisi Musa Mwidani",No,,,,,,Report on the Committee on Health investigating Muguka menace in Mombasa County,103rd-Sitting-of-2019_0
"March 11, 2020",Yes,"Hon. Aran Moses, Hon. Fadhili Mwalimu, Hon. Chief Whip, Hon. Ramla Said, Hon. Nyiro, Hon. Milka, Hon. Nzai, Hon. Renson Thoya, Hon. Mary Onsongo, Hon. Prischilla",No,,N/A,N/A,N/A,N/A,N/A,16th-Sitting-of-2020-1_1
"December 21, 2016",Yes,Mwakirunge residents,No,,"Lack of access to healthcare, hazardous living conditions, discrimination, vulnerability to violence","Equipped health centers near the dump site, Cost of treatment from dumpsite-related diseases to be scrapped off, Increase community health workers, Avail emergency and referral services for emergencies near the dumpsite, Avail rabies vaccine and specialized respiratory drugs, Regulate companies that dump at the site, Provide rescue and counseling services for girls raped at the dumpsite",Formation of an Ad hoc committee to look into the challenges and recommendations facing the Mwakirunge community,Memorandum of challenges and recommendations from Mwakirunge residents,Health services demands and recommendations,159th-sitting-of-2016_0
"November 29, 2022",Yes,"Hon. Hamisi Salim Mbaya, Hon. Fatuma Swaleh, Hon. Juma Mwalimu, Hon. Mwaura, Hon. Makanga, Hon. Osano, Hon. Mwamwiri, Majority Leader",No,,Lack of health facilities in certain wards,Request for equitable development fund to improve health services,Resolution to petition the National Assembly on County Wards Equitable Fund,,,18th-Sitting-of-2022_1
"March 14, 2018",Yes,"Hon. Athman Mwamwiri, Hon. Chief Whip (Hon. Kitula), Hon. Kibwana Swaleh, Hon. Kombe Nzai, Hon. Tobias Samba, Hon. Shebe Athman, Hon. Lucy Chizi",No,,"Lack of youth-friendly health services and facilities to combat drug abuse, spike in youth drug abuse leading to criminal gangs, inadequate rehabilitation centers",1. County government to come up with youth-friendly health services for drug abuse and addiction. 2. Construct at least one rehabilitation center in each Sub-County. 3. Train drug recovery individuals on entrepreneurship skills and provide start-up capital and job opportunities.,,,,13th-Sitting-of-2018-14th-March-18_1
"Wednesday, 15th February, 2023",Yes,"Hon. Bernard Ogutu, Hon. Allen Katana, Hon. Mohamed Hamid, Hon. Mwamwiri, Hon. Hassan Mohamed, Hon. Samuel Mwaura",No,,,,,,Review of the taskforce report on Mombasa Healthcare System,7th-Sitting-of-2023_0
"November 9, 2022",Yes,"Honourable Bernard Ogutu, Hon. Abdirahman Abdulkadir, Hon. Hassan Mohamed, Hon. Katana, Hon. Pamela Arwa, Hon. Orwa Ojala, Hon. Swaleh Kibwana",Yes,"Discussions about Ward Development Fund, health task force, and addressing health challenges within the county. Mention of the importance of revenue collection and employment opportunities for the youth.","Issues of development in certain wards, lack of progress in healthcare services, and concerns about child health services and education funding.","Establishment of a health task force, improvement of healthcare services in underdeveloped wards, and addressing revenue collection challenges.",,Anecdotal evidence and observations about the current state of health services in the county,,7th-Sitting-of-2022_0
"April 4 , 2019",Yes,"Hon. Ibrahim Omondi, Hon. Amriya Juma Boy, Hon. Prischillah Mumba",No,,,,,,,28th-Sitting-of-2019_0
"August 26 , 2020",No,,No,,,,,,,35th-Sitting-of-2020_0
"July 18 , 202 3",No,,No,,,,,,,45th-Sitting-of-2023_0
"March 31, 2016",Yes,"Hon. Zeinab Mumba, Hon. Jimmy Odari, Hon. Suleiman Omar, Hon. Ahmed Omar Ebrahim, Hon. Amir Thoya, Hon. Caroline Auma, Hon. Saad Faraj, Hon. Paul Onje",No,,The main challenge discussed was the negative health effects of smoking and the need to provide designated smoking zones to prevent non-smokers from being affected by second-hand smoke.,The recommendations discussed focused on the importance of providing designated smoking zones to protect non-smokers from the harm of second-hand smoke and to improve public health.,,,No specific health evidence was requested in the transcript.,44th-sitting-of-2016_0
"August 1, 2018",No,,No,,,,,,,61st_Sitting_of_2018_updted_1
"May 23, 2017",No,,No,,,,,,,59th-sitting-of-2017_0
"July 19, 2016",No,,No,,,,,,,73rd-sitting-of-2016_1
"July 19, 2018",No,,No,,,,,,,53rd_Sitting_of_2018_updted_0
"October 11 , 2023",No,,No,,,,,,,76th-Sitting-of-2023_0
"November 9, 2016",No,,No,,,,,,,134th-sitting-of-2016_0
"March 1, 2018",No,,No,,,,,,,6th-Sitting-of-2018-1st-March18_0
"September 20, 2016",No,,No,,,,,,,105th-sitting-of-2016_0
"March 14, 2017",No,,No,,,,,,,33rd-sitting-of-2017_0
"September 6 , 2017",No,,No,,,,,,,1st-Sitting-of-2017-1_0
"February 20, 2019",No,,No,,,,,,,6th-Sitting-of-2019_0
"June 26, 2018",Yes,"Hon. Mohamed Hatimy, Hon. Fahad Kassim, Hon. Fatuma Swalehe, Hon. Maimuna Salim, Hon. Kitula, Hon. Athman Mwamwiri, Hon. Ahmed Salama, Hon. Ibrahim Omondi",No,,"The discussions highlighted the lack of proper preparation and organization for health-related matters such as CIDP when brought to the County Assembly, leading to issues with validation and approval processes.",,The County Assembly members were in the process of agreeing and passing a health-related document.,The discussion was based on the documentation and planning presented by the Committee.,,46th-Sitting-of-2018_1
"October 24, 2018",No,,No,,,,,,,88th-Sitting-of-2018_1
"June 20, 2018",No,,No,,,,,,,43rd-Sitting-of-2018_0
"March 22 , 2016",No,,No,,,,,,,37th-sitting-of-2016_0
"May 16 , 2017",No,,No,,,,,,,55th-sitting-of-2017_0
"July 10, 2019",No,,No,,,,,,,57th-Sitting-of-2019_0
"August 24, 2016",No,,No,,,,,,,91th-sitting-of-2016_0
"December 6, 2014",No,,No,,,,,,,27th-Sitting-of-2017_0
"November 15, 2022",No,,No,,,,,,,10th-Sitting-of-2022_0
"September 17, 2019",Yes,"Hon. Kibwana Swaleh, Hon. Ibrahim Omondi",No,,,,,,,79th-Sitting-of-2019_0
"August 16, 2016",No,,No,,,,,,,85th-sitting-of-2016_0
"August 8, 2018",Yes,"Kibwana Baya, Kombe Nzai, Bwire, Athman Mwamwiri, Oindo, Faith Mwende, Fatuma Swaleh, Ali Mohamed Shomari, Amriya Juma",No,,"The delays in bringing the report to the House, concerns about the impact on the people of Mombasa due to the delay",,,,,65th_Sitting_of_2018_updted_0
"November 28, 2023",No,,No,,,,,,,99th-Sitting-of-2023_1
"January 27, 2016",No,,No,,,,,,,7th-sitting-of-2016_0
"February 10, 2016",No,,No,,,,,,,14th-sitting-of-2016_2
"November 15, 2022",Yes,"Hon. Amriya Juma, Hon. Athman Rama Mwamwiri, Hon. Fadhili Makarani, Hon. Milka Moraa, Hon. Rama Athman, Hon. Juma Manuari, Hon. Hamisi Mbaya, Hon. Juma Kambi, Hon. Mulu Mwakamuludonda, Hon. Munee Allen Katana, Hon. Ahmed Khamis, Hon. Leila, Hon. Chief Whip (Hon. Mumba)",No,,"Lack of coordination between various actors in the development arena leading to duplication, waste of resources, and stalling of projects.","1. County government to provide strategic coordination leadership solutions and development at the Ward level aligned to section 106 of the County Government Act, 2012. 2. County government to facilitate Ward-level concrete action between County Government, international organizations, civil society, and the private sector to achieve sustainable development.","Approval of the Mombasa County Assembly Calendar, 2022","Section 106 of the County Government Act, 2012, and discussions around the Mombasa County Ward Development Coordination Framework.",,9th-Sitting-of-2022_0
"September 28 , 2016",Yes,"Hon. Ibrahim Kondo, Hon. Ibrahim A Kondo, Hon. Fatuma S Mote, Hon. Abubakar Kibwana, Hon. Amir M Thoya, Hon. Kibwana S Baya, Hon. Lucy C Chireri, Hon. Maimuna S Mwawasi, Hon. Patrick SM Siminyu, Hon. Saad A Faraj, Hon. Suleiman O Boma",No,,"Licensing of casinos under National government while County governments have no impact, Unlicensed gambling machines in kiosks, Expired licenses for gambling companies, Lack of collaboration between departments for gambling control","Collaboration between Betting Control and Inspectorate departments, Issue directive for return of gambling machines, Inspection after return deadline, Update outcome by a certain date",,,,110th-sitting-of-2016_1
"September 21, 2016",No,,No,,,,,,,107th-sitting-of-2016_0
"Tuesday, 22nd September, 2020",Yes,Hon. Hassan Ali Joho,No,,Scarce resources and desire to deliver better County services,"Investment in data and informatics for change and transformation, ensuring access to goods and services for all citizens",N/A,Kenya National Bureau of Statistics (KNBS) census Report,N/A,42nd-Sitting-of-2020_0
"October 9, 2018",No,,No,,,,,,,80th-Sitting-of-2018_0
"February 15, 2017",No,,No,,,,,,,18th-sitting-of-2017_0
"March 27, 2019",No,,No,,,,,,,23rd-Sitting-of-2019_1
"March 28, 2017",No,,No,,,,,,,41st-sitting-of-2017_0
"August 1, 2018",No,,No,,,,,,,61st_Sitting_of_2018_updted_0
"July 31, 2019",No,,No,,,,,,,70th-Sitting-of-2019_1
"May 2 , 2017",No,,No,,,,,,,47th-sitting-of-2017_0
"August 2, 2023",Yes,"Abdulrahman Abdulkadir, Allen Katana",No,,,,,,Community Health Policy,53rd-Sitting-of-2023_2
"June 6 , 2017",No,,No,,,,,,,66th-sitting-of-2017_0
"February 25, 2016",Yes,Members,No,,Lack of specific discussions on health data or information systems.,Attend free medical camp at Kwa Hola Primary School.,None,"Invitation to Kipevu Ward Free medical camp, notification of reports from the Office of Controller of Budget.",None,24th-sitting-of-2016_0
"April 6 , 2016",No,,No,,,,,,,47th-sitting-of-2016_0
"March 8, 2017",No,,No,,,,,,,31st-sitting-of-2017_0
"August 23, 2016",No,,Yes,"The County Assembly discussed the benefits of Kenya Ports Authority to Mombasa County and the ongoing projects by Kenya Port Authority in Mombasa County. They highlighted the CSR projects in Mombasa, such as donations to hospitals, schools, and communities.",The report mentioned that there was a lack of clear indication of the financial years in which the projects were undertaken by Kenya Ports Authority. There were also observations that KPA management had been directly working with institutions benefiting from CSR projects without involving grassroots leaders such as Members of County Assembly.,,The County Assembly did not make any decisions or resolutions regarding the health sector.,The discussions and observations were based on the findings of the Ad hoc committee following a statement raised by a Member of the County Assembly regarding the benefits of Kenya Ports Authority to Mombasa County.,,89th-sitting-of-2016_0
"March 7, 2018",No,,No,,,,,,,9th-Sitting-of-2018_0
"May 5, 2020",Yes,"Hon. Mohamed Hatimy, Hon. Athman Mwamwiri, Hon. Hamisi Mwidani, Hon. Murfad Amur, Hon. Nzai, Hon. Juni or Wambua, Hon. Charles Kitula, Hon. Junior Wambua, Hon. Nyiro, Hon. Mwidani, Hon. Fadhili Mwalimu, Hon. Ahmed Nyundo",No,,The challenges of allocating and using the budget amidst uncertainties and the impact of the COVID-19 pandemic were discussed.,The need for careful budget planning and utilization in light of the uncertainties caused by the COVID-19 pandemic was emphasized.,"Decision to amend the budget for the services ending on June 30, 2020, was made.",Budget projections and considerations for the impact of the pandemic were used to inform decisions.,,18th-Sitting-of-2020_0
"August 7, 2018",No,,No,,,,,,,63rd_Sitting_of_2018_updted_0
"January 21, 2016",No,,No,,,,,,,4th-sitting-of-2016_0
"August 2, 2023",Yes,"Abdulrahman Abdulkadir, Allen Katana, Aharub Ebrahim Khatri, Amriya Boy, Juma Mwalimu, Makanga, Ibrahim Omondi, Benard Ogutu, Athman Mwamwiri, Kibwana Swaleh",No,,Issues with harassment of Boat Operators and Beach Traders at Bamburi Public Beach,"Committee to go back and have a site visit, invite relevant departments, and bring back a report in three weeks time",,"Response from the Department of Tourism, Culture and Trade",,53rd-Sitting-of-2023_0
"October 17, 2023",No,,No,,,,,,,79th-Sitting-of-2023_0
"October 11, 2016",No,,No,,,,,,,118th-sitting-of-2016_0
"May 24, 2017",No,,No,,,,,,,61st-sitting-of-2017_0
"July 24, 2018",Yes,"Hon. Khatri, Hon. Amur, Hon. Thoya, Hon. Nyiro, Hon. Osongo, Hon. Kalume, Hon. Juma, Hon. Kassim, Hon. Mwamwiri, Hon. Swaleh, Hon. Mwende, Hon. Mbura, Hon. Nzai, Hon. Opeya, Hon. Murfad, Hon. Athman, Hon. Kizito",No,,"The challenges of environmental pollution, health hazards, and lack of consideration for community health by businesses","Recommendation for Committees to visit affected areas, gather information, and make recommendations for action",,Petition on clinker environment pollution in Kikaangoni,,55th_Sitting_of_2018_updted_0
"February 17, 2016",No,,No,,,,,,,19th-sitting-of-2016_1
"November 7, 2023",No,,No,,,,,,,86th-Sitting-of-2023_0
"July 24, 2019",No,,No,,,,,,,65th-Sitting-of-2019_1
"November 29, 2017",No,,No,,,,,,,24th-Sitting-of-2017_0
"February 15, 2017",Yes,"Hon. Mwalimu, Hon. Fadhili Fadhili Makarani, Hon. Jimmy Odari, Hon. Eng. Makori",No,,Lack of proper response from the Environment Committee regarding health issues in Changamwe,"To provide healthcare services to community health workers without charging them fees, to address health issues affecting the people of Changamwe, and to have comprehensive reports on health-related matters",,Feedback and reports from community health workers and residents of Changamwe,,19th-sitting-of-2017-1_0
"March 22, 2018",No,,No,,,,,,,18th-Sitting-of-2018_0
"March 10, 2020",No,,No,,,,,,,13th-Sitting-of-2020_0
"November 27, 2019",Yes,"Hon. Kibwana Swaleh, The Speaker (Hon. Khatri)",No,,,Allowing the Committee to continue meetings during recess to work on petitions,,,,113th-Sitting-of-2019_0
"February 10, 2016",No,,No,,,,,,,15th-sitting-of-2016_1
"September 29 , 2020",Yes,"Hon. Hamisi Musa Mwidani, Hon. Kizito Opeya, Hon. Milka Moraa, Hon. Ngare, Hon. Salim Maimuna, Hon. Ogutu, Hon. Osongo, Hon. Leila, Hon. Rosemary Mukavi, Hon. Nzai, Hon. Mwalimu Mgwisho, Hon. Thoya",No,,"Water access and quality issues, Illegal water connections","Encouraging citizens to observe the law regarding water access, Implementing education programs to address illegal water connections",,"Speeches and reports regarding health interventions, Covid-19 response, education programs, and economic recovery",,46th-Sitting-of-2020_0
